Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-28 0k:00,CH20211110,Humidity,44,%,good
2021-12-28 0k:05,CH20211110,Humidity,43.9,%,good
2021-12-28 0k:10,CH20211110,Humidity,43.8,%,good
2021-12-28 0k:15,CH20211110,Humidity,43.7,%,good
2021-12-28 0k:20,CH20211110,Humidity,43.7,%,good
2021-12-28 0k:25,CH20211110,Humidity,43.5,%,good
2021-12-28 0k:30,CH20211110,Humidity,43.5,%,good
2021-12-28 0k:35,CH20211110,Humidity,43.5,%,good
2021-12-28 0k:40,CH20211110,Humidity,43.4,%,good
2021-12-28 0k:45,CH20211110,Humidity,43.2,%,good
2021-12-28 0k:50,CH20211110,Humidity,43,%,good
2021-12-28 0k:55,CH20211110,Humidity,42.7,%,good
2021-12-28 1k:00,CH20211110,Humidity,42.8,%,good
2021-12-28 1k:05,CH20211110,Humidity,42.8,%,good
2021-12-28 1k:10,CH20211110,Humidity,42.7,%,good
2021-12-28 1k:15,CH20211110,Humidity,42.8,%,good
2021-12-28 1k:20,CH20211110,Humidity,42.7,%,good
2021-12-28 1k:25,CH20211110,Humidity,42.7,%,good
2021-12-28 1k:30,CH20211110,Humidity,42.7,%,good
2021-12-28 1k:35,CH20211110,Humidity,42.6,%,good
2021-12-28 1k:40,CH20211110,Humidity,42.5,%,good
2021-12-28 1k:45,CH20211110,Humidity,42.5,%,good
2021-12-28 1k:50,CH20211110,Humidity,42.4,%,good
2021-12-28 1k:55,CH20211110,Humidity,42.4,%,good
2021-12-28 2k:00,CH20211110,Humidity,42.4,%,good
2021-12-28 2k:05,CH20211110,Humidity,42.4,%,good
2021-12-28 2k:10,CH20211110,Humidity,42.4,%,good
2021-12-28 2k:15,CH20211110,Humidity,42.5,%,good
2021-12-28 2k:20,CH20211110,Humidity,42.6,%,good
2021-12-28 2k:25,CH20211110,Humidity,42.6,%,good
2021-12-28 2k:30,CH20211110,Humidity,42.7,%,good
2021-12-28 2k:35,CH20211110,Humidity,42.9,%,good
2021-12-28 2k:40,CH20211110,Humidity,43,%,good
2021-12-28 2k:45,CH20211110,Humidity,43.2,%,good
2021-12-28 2k:50,CH20211110,Humidity,43.1,%,good
2021-12-28 2k:55,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:00,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:05,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:10,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:15,CH20211110,Humidity,43.2,%,good
2021-12-28 3k:20,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:25,CH20211110,Humidity,43.2,%,good
2021-12-28 3k:30,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:35,CH20211110,Humidity,43.1,%,good
2021-12-28 3k:40,CH20211110,Humidity,43.2,%,good
2021-12-28 3k:45,CH20211110,Humidity,43.3,%,good
2021-12-28 3k:50,CH20211110,Humidity,43.2,%,good
2021-12-28 3k:55,CH20211110,Humidity,43,%,good
2021-12-28 4k:00,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:05,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:10,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:15,CH20211110,Humidity,42.8,%,good
2021-12-28 4k:20,CH20211110,Humidity,42.8,%,good
2021-12-28 4k:25,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:30,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:35,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:40,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:45,CH20211110,Humidity,42.9,%,good
2021-12-28 4k:50,CH20211110,Humidity,42.8,%,good
2021-12-28 4k:55,CH20211110,Humidity,42.8,%,good
2021-12-28 5k:00,CH20211110,Humidity,42.7,%,good
2021-12-28 5k:05,CH20211110,Humidity,42.7,%,good
2021-12-28 5k:10,CH20211110,Humidity,42.6,%,good
2021-12-28 5k:15,CH20211110,Humidity,42.6,%,good
2021-12-28 5k:20,CH20211110,Humidity,42.6,%,good
2021-12-28 5k:25,CH20211110,Humidity,42.5,%,good
2021-12-28 5k:30,CH20211110,Humidity,42.4,%,good
2021-12-28 5k:35,CH20211110,Humidity,42.5,%,good
2021-12-28 5k:40,CH20211110,Humidity,42.5,%,good
2021-12-28 5k:45,CH20211110,Humidity,42.5,%,good
2021-12-28 5k:50,CH20211110,Humidity,42.5,%,good
2021-12-28 5k:55,CH20211110,Humidity,42.5,%,good
2021-12-28 6k:00,CH20211110,Humidity,42.5,%,good
2021-12-28 6k:05,CH20211110,Humidity,42.5,%,good
2021-12-28 6k:10,CH20211110,Humidity,42.5,%,good
2021-12-28 6k:15,CH20211110,Humidity,42.6,%,good
2021-12-28 6k:20,CH20211110,Humidity,42.6,%,good
2021-12-28 6k:25,CH20211110,Humidity,42.7,%,good
2021-12-28 6k:30,CH20211110,Humidity,42.7,%,good
2021-12-28 6k:35,CH20211110,Humidity,42.8,%,good
2021-12-28 6k:40,CH20211110,Humidity,42.9,%,good
2021-12-28 6k:45,CH20211110,Humidity,43,%,good
2021-12-28 6k:50,CH20211110,Humidity,43,%,good
2021-12-28 6k:55,CH20211110,Humidity,43,%,good
2021-12-28 7k:00,CH20211110,Humidity,43,%,good
2021-12-28 7k:05,CH20211110,Humidity,43,%,good
2021-12-28 7k:10,CH20211110,Humidity,43,%,good
2021-12-28 7k:15,CH20211110,Humidity,43.1,%,good
2021-12-28 7k:20,CH20211110,Humidity,43.2,%,good
2021-12-28 7k:25,CH20211110,Humidity,43.4,%,good
2021-12-28 7k:30,CH20211110,Humidity,43.5,%,good
2021-12-28 7k:35,CH20211110,Humidity,43.6,%,good
2021-12-28 7k:40,CH20211110,Humidity,43.6,%,good
2021-12-28 7k:45,CH20211110,Humidity,43.6,%,good
2021-12-28 7k:50,CH20211110,Humidity,43.6,%,good
2021-12-28 7k:55,CH20211110,Humidity,43.7,%,good
2021-12-28 8k:00,CH20211110,Humidity,43.9,%,good
2021-12-28 8k:05,CH20211110,Humidity,44.4,%,good
2021-12-28 8k:10,CH20211110,Humidity,44.6,%,good
2021-12-28 8k:15,CH20211110,Humidity,44.8,%,good
2021-12-28 8k:20,CH20211110,Humidity,44.9,%,good
2021-12-28 8k:25,CH20211110,Humidity,45,%,good
2021-12-28 8k:30,CH20211110,Humidity,45.1,%,good
2021-12-28 8k:35,CH20211110,Humidity,45.2,%,good
2021-12-28 8k:40,CH20211110,Humidity,45.4,%,good
2021-12-28 8k:45,CH20211110,Humidity,45.7,%,good
2021-12-28 8k:50,CH20211110,Humidity,45.9,%,good
