Date,DeviceSerialNumber,SensorType,Value,Unit,Status
Tue Dec 28 2021 00:00:00 GMT+0700 (Indochina Time),CH20211110,Humidity,44,%,good
Tue Dec 28 2021 00:05:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.9,%,good
Tue Dec 28 2021 00:10:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.8,%,good
Tue Dec 28 2021 00:15:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.7,%,good
Tue Dec 28 2021 00:20:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.7,%,good
Tue Dec 28 2021 00:25:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.5,%,good
Tue Dec 28 2021 00:30:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.5,%,good
Tue Dec 28 2021 00:35:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.5,%,good
Tue Dec 28 2021 00:40:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.4,%,good
Tue Dec 28 2021 00:45:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43.2,%,good
Tue Dec 28 2021 00:50:00 GMT+0700 (Indochina Time),CH20211110,Humidity,43,%,good
Tue Dec 28 2021 00:55:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.7,%,good
Tue Dec 28 2021 01:00:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.8,%,good
Tue Dec 28 2021 01:05:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.8,%,good
Tue Dec 28 2021 01:10:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.7,%,good
Tue Dec 28 2021 01:15:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.8,%,good
Tue Dec 28 2021 01:20:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.7,%,good
Tue Dec 28 2021 01:25:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.7,%,good
Tue Dec 28 2021 01:30:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.7,%,good
Tue Dec 28 2021 01:35:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.6,%,good
Tue Dec 28 2021 01:40:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.5,%,good
Tue Dec 28 2021 01:45:00 GMT+0700 (Indochina Time),CH20211110,Humidity,42.5,%,good
